2026-03-14 13:10:36 | DEBUG    | users | 管理员数据已保存
2026-03-14 13:10:36 | INFO     | users | 创建管理员账户
2026-03-14 13:10:36 | INFO     | users | 用户管理器初始化完成，管理员：1 个，普通用户：0 个
2026-03-14 13:10:36 | INFO     | users | 管理员使用密钥登录成功
2026-03-14 13:10:44 | INFO     | users | 加载了管理员
2026-03-14 13:10:44 | INFO     | users | 用户管理器初始化完成，管理员：1 个，普通用户：0 个
2026-03-14 13:10:44 | INFO     | users | 管理员使用密钥登录成功
2026-03-14 13:10:44 | DEBUG    | users | 用户数据已保存
2026-03-14 13:10:44 | INFO     | users | 管理员创建用户：testuser
2026-03-14 13:10:44 | DEBUG    | users | 用户数据已保存
2026-03-14 13:10:44 | INFO     | users | 管理员设置用户 testuser 权限：共享模型=True, 个人模型=False
2026-03-14 13:10:44 | INFO     | users | 用户 admin 登出
2026-03-14 13:10:44 | INFO     | users | 用户 testuser 登录成功
2026-03-14 13:16:44 | INFO     | users | 加载了管理员
2026-03-14 13:16:44 | INFO     | users | 加载了 1 个用户
2026-03-14 13:16:44 | INFO     | users | 用户管理器初始化完成，管理员：1 个，普通用户：1 个
2026-03-14 13:16:44 | INFO     | users | 管理员使用密钥登录成功
2026-03-14 13:16:44 | WARNING  | users | 创建用户失败：testuser 已存在
2026-03-14 13:16:44 | DEBUG    | users | 用户数据已保存
2026-03-14 13:16:44 | INFO     | users | 管理员设置用户 testuser 权限：共享模型=True, 个人模型=True
2026-03-14 13:16:44 | INFO     | users | 用户 admin 登出
2026-03-14 13:16:44 | INFO     | users | 用户 testuser 登录成功
2026-03-14 13:17:19 | INFO     | users | 加载了管理员
2026-03-14 13:17:19 | INFO     | users | 加载了 1 个用户
2026-03-14 13:17:19 | INFO     | users | 用户管理器初始化完成，管理员：1 个，普通用户：1 个
2026-03-14 13:17:33 | INFO     | users | 管理员使用密钥登录成功
2026-03-14 13:18:05 | INFO     | users | 用户 admin 登出
2026-03-14 13:18:15 | WARNING  | users | 认证失败：用户 testuesr 不存在
2026-03-14 13:18:30 | WARNING  | users | 认证失败：用户 testuser 密码错误
2026-03-14 13:19:04 | WARNING  | users | 认证失败：用户 testuser 密码错误
